normalized_manufacturer,ticker,country_exchange_code,fuzzy_score,fuzzy_method,source
TORAX MEDICAL,JNJ,US,100,exact,original
COVIDIEN MFG SOLUTIONS,MDT,US,100,exact,original
SPATZ FGIA,PRIVATE,PRIVATE,100,exact,original
RESPORINOC,RMD,US,100,exact,original
NXSTAGE MEDICAL,PRIVATE,PRIVATE,100,exact,original
QUIDELORTHO,QDEL,US,100,exact,original
AXONICS,BSX,US,100,exact,original
IMTMEDICAL,PRIVATE,PRIVATE,100,exact,original
ABBOTT POINT CARE,ABT,US,100,exact,original
BOSTON SCIENTIFIC COSTA RICA,BSX,US,100,exact,original
MAZOR ROBOTICS,MDT,US,100,exact,original
AMO MANUFACTURING USA,JNJ,US,100,exact,original
OLYMPUS MEDICAL SYSTEMS HINODE,7733,JP,100,exact,original
ALCON GRIESHABER,ALC,US,100,exact,original
CELESTICA MONTERREY C V,CLS,US,100,exact,original
PULMONX,LUNG,US,100,exact,original
WELCH ALLYN,BAX,US,100,exact,original
AXONICS MODULATION TECHNOLOGIES,AXNX,US,100,exact,original
APOLLO ENDOSURGERY,PRIVATE,PRIVATE,100,exact,original
STERIS,STE,US,100,exact,original
WILLIAM COOK EUROPE,PRIVATE,PRIVATE,100,exact,original
ALERE SAN DIEGO,ABT,US,100,exact,original
LUMIRADX UK,PRIVATE,PRIVATE,100,exact,original
GENEOHM SCIENCES CANADA,BDX,US,100,exact,original
BECTON DICKINSON INDUSTRIAS CIRURGICAS,BDX,US,100,exact,original
RAYNER INTRAOCULAR LENSES,PRIVATE,PRIVATE,100,exact,original
BARD ACCESS SYSTEMS,BDX,US,100,exact,original
KESTRA MEDICAL TECHNOLOGIES,KMTS,US,100,exact,original
ABBVIE MEDICAL DEVICE CENTRE,ABBV,US,100,exact,original
SPECTRANETICS,PHG,NL,100,exact,original
ALPHATEC SPINE,ATEC,US,100,exact,original
SPACELABS HEALTHCARE,OSIS,US,100,exact,original
ASAHI INTECC,7747,JP,100,exact,original
COOPERSURGICAL,COO,US,100,exact,original
BD CARIBE,BDX,US,100,exact,original
CONSOLIDATED MEDICAL EQUIPMENT,PRIVATE,PRIVATE,100,exact,original
ACCESS DENTAL LAB,PRIVATE,PRIVATE,100,exact,original
BIOTRONIK,PRIVATE,PRIVATE,100,exact,original
COVIDIEN MEDICAL PRODUCTS,MDT,US,100,exact,original
HAGER AND MEISINGER,PRIVATE,PRIVATE,100,exact,original
HOYA SURGICAL OPTICS,7741,JP,100,exact,original
DENTIUM,145720,KR,100,exact,original
CORDIS SANTA CLARA,MDT,US,100,exact,original
ENDOLOGIX SANTA ROSA,PRIVATE,PRIVATE,100,exact,original
SIEMENS HEALTHCARE,SHL,DE,100,exact,original
STRAUB MEDICAL,BDX,US,100,exact,original
LIVANOVA DEUTSCHLAND,LIVN,US,100,exact,original
EMBECTA MEDICAL I HOLDREGE NE,EMBC,US,100,exact,original
OAKDALE,ICMD,US,100,exact,original
NATUS MEDICAL,PRIVATE,PRIVATE,100,exact,original
SMITHS MEDICAL CZECH REPUBLIC A S,SMIN,GB,100,exact,original
BECTON DICKINSON MEDICAL DEVICES,BDX,US,100,exact,original
NEURAVI,PRIVATE,PRIVATE,100,exact,original
WARSAW ORTHOPEDICS,MDT,US,100,exact,original
STRYKER SPINE,SYK,US,100,exact,original
STRYKER TRAUMA KIEL,SYK,US,100,exact,original
GLAUKOS,GKOS,US,100,exact,original
IDEAL IMPLANT,PRIVATE,PRIVATE,100,exact,original
EMBECTA PENEL,EMBC,US,100,exact,original
BIOFIRE DIAGNOSTICS,BIOM,FR,100,exact,original
SIEMENS HEALTHINEERS,SHL,DE,100,exact,original
INTACT VASCULAR,PRIVATE,PRIVATE,100,exact,original
MEDLINE INDUSTRIES,PRIVATE,PRIVATE,100,exact,original
LIMACORPORATE,ENOV,US,100,exact,original
MEGADYNE MEDICAL PRODUCTS,JNJ,US,100,exact,original
CORIN,PRIVATE,PRIVATE,100,exact,original
INTEGRA LIFESCIENCES OH,IART,US,100,exact,original
CONMED UTICA,CNMD,US,100,exact,original
MALLINCKRODT PHARMACEUTICALS IRELAND,PRIVATE,PRIVATE,100,exact,original
MAILLEFER INSTRUMENTS HOLDING,MDT,US,100,exact,original
SOFRADIM PRODUCTION,MDT,US,100,exact,original
SIEMENS HEALTHCARE DIAGNOSTICS PRODUCTS,SHL,DE,100,exact,original
SHOCKWAVE MEDICAL,JNJ,US,100,exact,original
LIFESCAN EUROPE,PRIVATE,PRIVATE,100,exact,original
SMITH AND NEPHEW MEDICAL,SN.,GB,100,exact,original
SCHILLER,PRIVATE,PRIVATE,100,exact,original
INTEGRA LIFESCIENCES,IART,US,100,exact,original
VYGON,PRIVATE,PRIVATE,100,exact,original
ASCENSION ORTHOPEDICS,IART,US,100,exact,original
BIO,BIM,FR,100,exact,original
CONMED LARGO,CNMD,US,100,exact,original
SYNCARDIA SYSTEMS,PMI,US,100,exact,original
JOHNSON AND JOHNSON VISION CARE,JNJ,US,100,exact,original
DEPUY FRANCE,JNJ,US,100,exact,original
NOVOCURE,NVCR,US,100,exact,original
RESPIRONIC,RMD,US,100,exact,original
TEOXANE,PRIVATE,PRIVATE,100,exact,original
MEDTRONIC NEUROSURGERY,MDT,US,100,exact,original
SPECTRUM MEDICAL,PRIVATE,PRIVATE,100,exact,original
ARJOHUNTLEIGH MAGOG,ARJO B,SE,100,exact,original
EDWARDS LIFESCIENCES DR,EW,US,100,exact,original
AIRCRAFT MEDICAL,MDT,US,100,exact,original
THE SPECTRANETICS,PHG,NL,100,exact,original
PHILIPS ORAL HEALTHCARE,PHIA,NL,100,exact,original
AGILENT TECHNOLOGIES SINGAPORE,A,US,100,exact,original
SOLTA MEDICAL,BHC,US,100,exact,original
ORTHO,QDEL,US,100,exact,original
NAKANISHI,7716,JP,100,exact,original
A I D D LONGFORD,ABT,US,100,exact,original
ELLUME,PRIVATE,PRIVATE,100,exact,original
MALLINCKRODT MANUFACTURING,MNKKQ,US,100,exact,original
ANDON MEDICAL,002432,CN,100,exact,original
MANNKIND V,MNKD,US,100,exact,original
DIASORIN,DIAS,IT,100,exact,original
HOUSTON,ITGR,US,100,exact,original
B BRAUN AVITUM,PRIVATE,PRIVATE,100,exact,original
ATRIUM MEDICAL,NDSN,US,100,exact,original
GN HEARING A,GN,DK,100,exact,original
B T I BIOTECHNOLOGY INSTITUTE S L,PRIVATE,PRIVATE,100,exact,original
VOLCANO,PHG,NL,100,exact,original
CARL ZEISS MEDITEC PRODUCTION,ZTRGY,US,100,exact,original
SOCLEAN,PRIVATE,PRIVATE,100,exact,original
CARTIVA,STC,US,100,exact,original
JIANGSU CAINA MEDICAL,MCK,US,100,exact,original
DEROYAL INDUSTRIES,PRIVATE,PRIVATE,100,exact,original
JOHNSON AND JOHNSON SURGICAL VISION,JNJ,US,100,exact,original
STRYKER LEIBINGER FREIBURG,SYK,US,100,exact,original
TMJ SOLUTIONS DBA TMJ CONCEPTS,SYK,US,100,exact,original
BIOMET FRANCE R L,ZBH,US,100,exact,original
KINETIC CONCEPTS,MMM,US,100,exact,original
INTRA,XRAY,US,100,exact,original
ACE SURGICAL,PRIVATE,PRIVATE,100,exact,original
BRAEMAR MANUFACTURING,PRIVATE,PRIVATE,100,exact,original
XENIOS,FMS,DE,100,exact,original
TELEFLEX,TFX,US,100,exact,original
ST JUDE MEDICAL COSTA RICA,ABT,US,100,exact,original
VERYAN MEDICAL,PRIVATE,PRIVATE,100,exact,original
WALDEMAR LINK AND,PRIVATE,PRIVATE,100,exact,original
DJO,ENOV,US,100,exact,original
PRIDE MOBILITY PRODUCTS,PRIVATE,PRIVATE,100,exact,original
BIOTECH DENTAL,HSIC,US,100,exact,original
BRAINLAB,PRIVATE,PRIVATE,100,exact,original
MEDIVATORS,MDT,US,100,exact,original
3M,MMM,US,100,exact,original
LDR MEDICAL,ZBH,US,100,exact,original
ENTERRA MEDICAL,PRIVATE,PRIVATE,100,exact,original
RADIOMETER MEDICAL,DHR,US,100,exact,original
SORIN GROUP ITALIA,LIVN,US,100,exact,original
LABSTYLE INNOVATIONS,DRIO,US,100,exact,original
STERIS MEXICO S R L C V,STE,US,100,exact,original
TERUMO,4543,JP,100,exact,original
DRAEGER MEDICAL SYSTEMS,DRW3,DE,100,exact,original
SUNRISE MEDICAL,PRIVATE,PRIVATE,100,exact,original
ALIGN TECHNOLOGY,ALGN,US,100,exact,original
BETA BIONIC,BBNX,US,100,exact,original
ADVANCED STERILIZATION PRODUCTS,FTV,US,100,exact,original
MEDICAL COMPONENTS,ICUI,US,100,exact,original
MESA BIOTECH,TMO,US,100,exact,original
CORCYM CANADA,PRIVATE,PRIVATE,100,exact,original
JOHNSON AND JOHNSON MEDICAL,JNJ,US,100,exact,original
QUANTA SYSTEM,OLYMPUS,JP,100,exact,original
Q,GALD,CH,100,exact,original
BERLIN HEART,PRIVATE,PRIVATE,100,exact,original
INOGEN,INGN,US,100,exact,original
GOODMAN,PRIVATE,PRIVATE,100,exact,original
BETA BIONICS ORGANIZATION,BBNX,US,100,exact,original
CONMED,CNMD,US,100,exact,original
SALTER LABS,PRIVATE,PRIVATE,100,exact,original
FX SOLUTIONS,TFX,US,100,exact,original
MEDTRONIC MILACA,MDT,US,100,exact,original
MICROPORT ORTHOPEDICS,00853,HK,100,exact,original
SUNSTAR AMERICAS,PRIVATE,PRIVATE,100,exact,original
LEICA BIOSYSTEMS MELBOURNE,DHR,US,100,exact,original
LIFESCAN,PRIVATE,PRIVATE,100,exact,original
OTICON MEDICAL,COCH,AU,100,exact,original
SOL,HSIC,US,100,exact,original
